enrollment_id,instruction_id,enrollment_start_time,enrollment_end_time,enrollment_status,last_modified_date,etl_date
972,972,2021-06-19,2021-07-15,closed,2021-07-22,2021-07-29
973,973,2021-06-26,2021-07-24,closed,2021-07-31,2021-08-07
974,974,2021-06-28,2021-07-24,closed,2021-07-31,2021-08-07
975,975,2021-06-20,2021-07-17,closed,2021-07-24,2021-07-31
976,976,2021-06-24,2021-07-22,closed,2021-07-29,2021-08-05
977,977,2021-06-20,2021-07-12,closed,2021-07-19,2021-07-26
978,978,2021-06-28,2021-07-21,closed,2021-07-28,2021-08-04
979,979,2021-06-27,2021-07-25,closed,2021-08-01,2021-08-08
980,980,2021-06-21,2021-07-13,closed,2021-07-20,2021-07-27
981,981,2021-06-21,2021-07-16,closed,2021-07-23,2021-07-30
982,982,2021-06-24,2021-07-18,closed,2021-07-25,2021-08-01
983,983,2021-06-19,2021-07-13,closed,2021-07-20,2021-07-27
984,984,2021-06-30,2021-07-28,closed,2021-08-04,2021-08-11
985,985,2021-06-22,2021-07-19,closed,2021-07-26,2021-08-02
986,986,2021-06-16,2021-07-08,closed,2021-07-15,2021-07-22
987,987,2021-06-20,2021-07-18,closed,2021-07-25,2021-08-01
988,988,2021-06-21,2021-07-15,closed,2021-07-22,2021-07-29
989,989,2021-06-20,2021-07-12,closed,2021-07-19,2021-07-26
990,990,2021-06-18,2021-07-16,closed,2021-07-23,2021-07-30
991,991,2021-06-18,2021-07-11,closed,2021-07-18,2021-07-25
992,992,2021-06-29,2021-07-23,closed,2021-07-30,2021-08-06
993,993,2021-06-25,2021-07-19,closed,2021-07-26,2021-08-02
994,994,2021-06-27,2021-07-24,closed,2021-07-31,2021-08-07
995,995,2021-06-22,2021-07-17,closed,2021-07-24,2021-07-31
996,996,2021-06-28,2021-07-23,closed,2021-07-30,2021-08-06
997,997,2021-06-21,2021-07-18,closed,2021-07-25,2021-08-01
998,998,2021-06-26,2021-07-18,closed,2021-07-25,2021-08-01
999,999,2021-07-03,2021-07-27,closed,2021-08-03,2021-08-10
1000,1000,2021-06-20,2021-07-11,closed,2021-07-18,2021-07-25
1001,1001,2021-06-26,2021-07-22,closed,2021-07-29,2021-08-05
1002,1002,2021-06-26,2021-07-20,closed,2021-07-27,2021-08-03
1003,1003,2021-06-24,2021-07-15,closed,2021-07-22,2021-07-29
1004,1004,2021-06-28,2021-07-21,closed,2021-07-28,2021-08-04
1005,1005,2021-06-27,2021-07-18,closed,2021-07-25,2021-08-01
1006,1006,2021-06-21,2021-07-16,closed,2021-07-23,2021-07-30
1007,1007,2021-06-20,2021-07-12,closed,2021-07-19,2021-07-26
1008,1008,2021-06-19,2021-07-11,closed,2021-07-18,2021-07-25
1009,1009,2021-06-26,2021-07-20,closed,2021-07-27,2021-08-03
1010,1010,2021-06-29,2021-07-22,closed,2021-07-29,2021-08-05
1011,1011,2021-07-01,2021-07-26,closed,2021-08-02,2021-08-09
1012,1012,2021-06-30,2021-07-24,closed,2021-07-31,2021-08-07
1013,1013,2021-06-24,2021-07-20,closed,2021-07-27,2021-08-03
1014,1014,2021-06-26,2021-07-22,closed,2021-07-29,2021-08-05
1015,1015,2021-06-28,2021-07-25,closed,2021-08-01,2021-08-08
1016,1016,2021-06-27,2021-07-23,closed,2021-07-30,2021-08-06
1017,1017,2021-06-15,2021-07-12,closed,2021-07-19,2021-07-26
1018,1018,2021-06-17,2021-07-11,closed,2021-07-18,2021-07-25
1019,1019,2021-11-28,2021-12-22,closed,2021-12-29,2022-01-05
1020,1020,2021-11-21,2021-12-17,closed,2021-12-24,2021-12-31
1021,1021,2021-11-28,2021-12-20,closed,2021-12-27,2022-01-03
1022,1022,2021-11-24,2021-12-22,closed,2021-12-29,2022-01-05
1023,1023,2021-11-21,2021-12-18,closed,2021-12-25,2022-01-01
1024,1024,2021-11-21,2021-12-16,closed,2021-12-23,2021-12-30
1025,1025,2021-11-17,2021-12-09,closed,2021-12-16,2021-12-23
1026,1026,2021-11-25,2021-12-16,closed,2021-12-23,2021-12-30
1027,1027,2021-11-21,2021-12-14,closed,2021-12-21,2021-12-28
1028,1028,2021-11-20,2021-12-16,closed,2021-12-23,2021-12-30
1029,1029,2021-11-23,2021-12-19,closed,2021-12-26,2022-01-02
1030,1030,2021-11-23,2021-12-20,closed,2021-12-27,2022-01-03
1031,1031,2021-11-19,2021-12-17,closed,2021-12-24,2021-12-31
1032,1032,2021-11-26,2021-12-22,closed,2021-12-29,2022-01-05
1033,1033,2021-11-18,2021-12-10,closed,2021-12-17,2021-12-24
1034,1034,2021-11-19,2021-12-15,closed,2021-12-22,2021-12-29
