program_semester_id,course_id
K17DS_1,138369
K17DS_1,138371
K17DS_1,138368
K17DS_1,138366
K17DS_1,138367
K17DS_1,138370
K17DS_1,138372
K17DS_1,142880
K17DS_2,138376
K17DS_2,138375
K17DS_2,138374
K17DS_2,138373
K17DS_2,138383
K17DS_2,144387
K17DS_2,138381
K17DS_2,138382
K17DS_2,138379
K17DS_2,138380
K17DS_2,138378
K17DS_3,138394
K17DS_3,138392
K17DS_3,138393
K17DS_3,138384
K17DS_3,138391
K17DS_3,144388
K17DS_3,138390
K17DS_3,138385
K17DS_3,138386
K17DS_3,138388
K17DS_3,138389
K17DS_3,138387
K17DS_3,138396
K17DS_4,138402
K17DS_4,138401
K17DS_4,138404
K17DS_4,138397
K17DS_4,138403
K17DS_4,138398
K17DS_4,138399
K17DS_4,138400
K17DS_4,138405
K17DS_4,138406
K17DS_4,138407
K17DS_5,138415
K17DS_5,138411
K17DS_5,138408
K17DS_5,138409
K17DS_5,138410
K17DS_5,138412
K17DS_5,138413
K17DS_5,138414
K17DS_6,138417
K17DS_6,138418
K17DS_6,138416
K17DS_6,138426
K17DS_6,138421
K17DS_6,138423
K17DS_6,138420
K17DS_6,138419
K17DS_6,138422
K17DS_6,138424
K17DS_6,138425
K17DS_7,138427
K17DS_7,138428
K17DS_7,138432
K17DS_7,138437
K17DS_7,138430
K17DS_7,138436
K17DS_7,138434
K17DS_7,138435
K17DS_7,138438
K17DS_7,138433
K17DS_7,138439
K17DS_7,138429
K17DS_7,138431
K17DS_8,138440
K17DS_8,138441
K17DS_8,138442
K17DS_8,138447
K17DS_8,138444
K17DS_8,138443
K17DS_8,138445
K17DS_8,138446
K17DS_9,138448
K17DS_9,138450
