student_id,enrollment_id,enrollment_time
20052491,474,2020-06-22 05:14:50
20028461,474,2020-06-30 00:56:46
20105141,474,2020-06-29 03:13:37
20047761,474,2020-07-06 03:08:19
20104821,474,2020-07-03 05:09:56
20079601,474,2020-07-10 20:33:28
20020761,474,2020-07-07 03:58:42
20025031,474,2020-07-03 10:31:40
20101671,474,2020-06-25 06:25:55
20079071,474,2020-06-19 14:22:34
20074861,474,2020-07-10 22:36:30
20122031,474,2020-07-01 02:01:08
20057571,474,2020-07-09 19:04:57
20098431,474,2020-06-29 09:09:03
20020541,474,2020-07-04 22:22:17
20070711,474,2020-06-30 18:52:10
20083601,474,2020-07-07 15:36:54
20053181,474,2020-07-07 20:43:46
20022711,474,2020-06-22 08:26:35
20047711,474,2020-06-21 12:25:46
20079741,474,2020-07-09 06:19:16
20072291,474,2020-06-26 13:35:59
20016701,474,2020-06-22 04:44:25
20033951,474,2020-07-01 20:56:09
20101981,474,2020-06-23 01:01:36
20050361,474,2020-07-02 09:17:16
20052221,474,2020-07-08 05:37:27
20045061,474,2020-07-07 02:39:57
20101811,474,2020-06-30 05:03:30
20048721,474,2020-06-27 12:01:36
20087481,474,2020-07-07 09:12:37
20051051,474,2020-06-27 07:31:32
20057961,474,2020-07-03 12:06:12
20000831,474,2020-06-21 19:26:50
20030031,474,2020-07-08 00:48:35
20101511,474,2020-07-04 01:25:35
20078291,474,2020-07-05 20:35:42
20107161,474,2020-07-03 19:27:36
20049891,474,2020-06-29 04:11:56
20018991,474,2020-06-30 03:32:00
20073991,474,2020-06-23 00:20:28
20103231,474,2020-07-07 14:52:32
20045391,474,2020-07-07 12:04:50
20116351,474,2020-06-16 11:48:27
20032501,474,2020-06-29 02:21:47
20120721,474,2020-07-08 01:42:35
20056951,474,2020-06-21 05:58:02
20105361,474,2020-06-30 12:49:52
20102201,474,2020-07-09 06:46:24
20122431,474,2020-06-22 04:31:47
20011661,474,2020-06-24 02:35:54
20082051,474,2020-06-15 23:16:52
20028151,474,2020-06-17 18:43:09
20099181,474,2020-06-20 12:30:14
20036171,474,2020-06-25 22:24:21
20036941,474,2020-07-04 16:08:41
20000911,474,2020-07-08 07:24:59
20081001,474,2020-07-06 00:22:10
20029141,474,2020-06-28 02:29:07
20043131,474,2020-06-21 12:17:49
20033951,475,2020-07-08 20:43:22
20018991,475,2020-06-21 08:59:02
20101981,475,2020-07-04 08:16:49
20073991,475,2020-07-04 21:44:20
20087481,475,2020-07-01 14:17:14
20079741,475,2020-06-20 19:06:06
20020761,475,2020-06-17 09:09:12
20016701,475,2020-07-06 20:47:22
20011661,475,2020-07-10 06:03:56
20107161,475,2020-06-28 04:26:25
20079071,475,2020-07-03 14:11:30
20101671,475,2020-06-21 20:20:08
20057961,475,2020-06-25 18:29:00
20047761,475,2020-06-23 06:27:59
20052221,475,2020-06-27 23:12:43
20101811,475,2020-06-18 08:32:56
20099181,475,2020-06-29 17:55:29
20081001,475,2020-07-07 17:52:53
20105141,475,2020-07-10 07:08:40
20028151,475,2020-06-18 03:53:40
20043131,475,2020-07-05 08:21:23
20103231,475,2020-06-28 15:07:50
20057571,475,2020-06-21 02:23:36
20104821,475,2020-06-26 15:07:37
20056951,475,2020-07-01 12:05:56
20036941,475,2020-07-05 22:42:35
20045061,475,2020-06-21 21:23:31
20052491,475,2020-06-16 18:40:25
20082051,475,2020-07-03 11:09:30
20036171,475,2020-07-08 22:15:35
20032501,475,2020-06-19 07:32:43
20047711,475,2020-07-04 08:53:01
20029141,475,2020-06-23 05:53:40
20000831,475,2020-06-22 06:20:42
20048721,475,2020-06-22 16:50:24
20083601,475,2020-07-05 21:36:58
20025031,475,2020-07-01 03:28:43
20079601,475,2020-06-23 17:40:49
20072291,475,2020-06-24 21:38:57
20050361,475,2020-06-17 12:18:04
20028461,475,2020-06-25 02:20:07
20078291,475,2020-06-25 10:37:57
20045391,475,2020-07-04 06:30:46
20030031,475,2020-07-04 15:14:36
20074861,475,2020-07-05 13:18:45
20116351,475,2020-06-27 12:59:41
20049891,475,2020-07-01 13:32:17
20053181,475,2020-06-26 07:11:41
20122431,475,2020-06-20 15:22:36
20022711,475,2020-06-29 18:49:35
20020541,475,2020-06-26 11:10:58
20122031,475,2020-06-27 16:52:18
20120721,475,2020-07-05 00:35:39
20101511,475,2020-06-30 04:29:37
20098431,475,2020-07-09 15:12:28
20051051,475,2020-06-19 06:55:57
20070711,475,2020-06-17 06:50:22
20105361,475,2020-07-02 21:15:39
20000911,475,2020-07-02 14:27:34
20102201,475,2020-07-03 04:55:02
20101811,476,2020-07-14 11:54:56
20122431,476,2020-07-10 14:44:04
20049891,476,2020-07-15 16:18:35
20020541,476,2020-07-08 04:27:23
20099181,476,2020-07-10 23:00:27
20057961,476,2020-07-07 11:12:20
20087481,476,2020-07-01 05:00:10
20053181,476,2020-07-10 21:47:33
20083601,476,2020-07-01 19:57:15
20051051,476,2020-06-28 05:13:19
20098431,476,2020-06-28 12:27:42
20025031,476,2020-06-28 22:10:39
20050361,476,2020-06-29 08:56:49
20052221,476,2020-07-14 19:12:30
20082051,476,2020-07-11 10:02:14
20048721,476,2020-07-12 12:29:01
20045391,476,2020-07-10 16:13:04
20029141,476,2020-07-07 12:51:32
20074861,476,2020-07-14 01:06:47
20078291,476,2020-06-24 02:00:30
20000831,476,2020-07-08 03:53:35
20105361,476,2020-06-30 12:45:24
20036171,476,2020-07-07 16:44:51
20020761,476,2020-06-28 06:29:22
20079741,476,2020-07-13 04:27:00
20047761,476,2020-07-08 12:02:55
20022711,476,2020-06-27 01:44:21
20043131,476,2020-07-03 03:45:23
20070711,476,2020-07-04 11:18:11
20052491,476,2020-07-12 20:44:56
20116351,476,2020-06-27 04:15:24
20102201,476,2020-07-03 05:59:12
20000911,476,2020-07-04 14:39:47
20018991,476,2020-06-22 22:41:36
20030031,476,2020-07-15 07:25:06
20032501,476,2020-06-29 11:32:31
20101671,476,2020-07-01 02:42:30
20011661,476,2020-07-10 00:22:45
20103231,476,2020-06-24 16:29:42
20036941,476,2020-06-26 18:56:09
20033951,476,2020-07-10 12:48:22
20057571,476,2020-07-07 03:49:29
20028461,476,2020-06-24 11:50:17
20107161,476,2020-06-26 02:29:42
20122031,476,2020-07-08 06:24:15
20056951,476,2020-07-12 09:51:25
20079071,476,2020-07-13 16:35:32
20045061,476,2020-07-10 07:25:51
20104821,476,2020-07-10 14:45:13
20072291,476,2020-07-05 21:46:00
20101981,476,2020-07-06 14:41:50
20016701,476,2020-06-26 02:30:44
20073991,476,2020-06-23 00:09:38
20081001,476,2020-07-09 16:12:56
20120721,476,2020-06-29 15:08:43
20079601,476,2020-06-25 19:04:28
20101511,476,2020-06-26 02:58:54
20028151,476,2020-07-15 19:20:29
20105141,476,2020-07-12 05:34:50
20047711,476,2020-07-08 04:05:21
20047711,477,2020-07-10 08:46:16
20098431,477,2020-07-12 22:52:58
20047761,477,2020-07-01 13:25:54
20048721,477,2020-07-16 12:38:13
20122031,477,2020-07-15 15:07:45
20101671,477,2020-07-11 13:14:48
20070711,477,2020-06-29 09:37:11
20057961,477,2020-07-11 14:43:19
20052491,477,2020-07-03 16:56:15
20030031,477,2020-07-17 02:29:40
20033951,477,2020-07-12 10:13:44
20074861,477,2020-07-20 05:26:12
20122431,477,2020-07-17 09:15:14
20078291,477,2020-06-28 10:07:31
20079601,477,2020-07-02 15:25:38
20029141,477,2020-06-30 05:15:47
20079071,477,2020-07-05 06:34:51
20081001,477,2020-06-30 08:27:27
20032501,477,2020-07-15 07:15:17
20103231,477,2020-07-05 00:49:45
20020541,477,2020-07-04 13:34:58
20101511,477,2020-06-29 11:13:50
20022711,477,2020-07-07 20:37:39
20016701,477,2020-07-12 16:39:32
20049891,477,2020-07-12 20:27:40
20083601,477,2020-07-14 08:06:14
20000831,477,2020-07-01 01:01:40
20057571,477,2020-07-15 02:49:03
20036171,477,2020-06-28 09:16:08
20099181,477,2020-07-09 12:27:36
20045391,477,2020-06-28 04:46:45
20036941,477,2020-07-18 00:55:17
20105361,477,2020-07-07 11:42:14
20104821,477,2020-06-29 23:49:43
20105141,477,2020-07-20 01:13:09
20045061,477,2020-07-20 00:14:22
20000911,477,2020-07-07 06:37:45
20120721,477,2020-07-05 20:42:18
20056951,477,2020-07-16 19:16:43
20073991,477,2020-07-09 03:47:05
20051051,477,2020-07-15 09:17:23
20011661,477,2020-07-05 18:26:58
20079741,477,2020-07-04 15:06:37
20025031,477,2020-07-19 10:50:09
20050361,477,2020-07-16 13:05:52
20053181,477,2020-07-01 12:32:34
20018991,477,2020-06-30 07:49:34
20020761,477,2020-07-06 04:32:35
20052221,477,2020-07-15 21:47:43
20028151,477,2020-07-16 18:49:30
20028461,477,2020-06-30 19:25:10
20072291,477,2020-07-14 05:33:57
20107161,477,2020-07-03 07:40:34
20087481,477,2020-07-04 23:48:06
20116351,477,2020-07-18 23:36:50
20043131,477,2020-07-02 05:50:14
20101811,477,2020-07-07 02:53:34
20082051,477,2020-07-19 10:34:36
20101981,477,2020-07-12 06:36:34
20102201,477,2020-07-20 11:19:43
20033951,478,2020-07-06 11:12:22
20122431,478,2020-07-03 12:50:21
20070711,478,2020-06-29 00:19:15
20022711,478,2020-06-30 03:16:39
20073991,478,2020-07-15 00:57:55
20057571,478,2020-07-11 19:34:03
20102201,478,2020-07-11 21:38:59
20018991,478,2020-07-03 08:39:23
20030031,478,2020-07-17 18:27:42
20101671,478,2020-07-07 14:17:23
20079071,478,2020-07-10 07:51:31
20047761,478,2020-07-02 22:06:46
20052491,478,2020-07-03 09:32:23
20101981,478,2020-07-06 21:21:26
20079601,478,2020-06-27 16:34:25
20049891,478,2020-07-07 09:20:32
20032501,478,2020-07-05 20:47:53
20078291,478,2020-07-20 19:49:42
20074861,478,2020-07-07 20:05:59
20083601,478,2020-07-11 00:56:16
20099181,478,2020-07-16 10:58:14
20120721,478,2020-07-09 11:34:16
20051051,478,2020-07-11 09:08:32
20045061,478,2020-07-04 13:31:27
20116351,478,2020-07-03 02:08:20
20036941,478,2020-07-20 12:57:48
20043131,478,2020-07-21 07:45:57
20050361,478,2020-07-15 17:15:27
20122031,478,2020-07-12 05:18:56
20104821,478,2020-07-05 07:16:49
20103231,478,2020-07-06 18:58:07
20053181,478,2020-07-03 14:10:11
20079741,478,2020-07-10 00:25:16
20056951,478,2020-07-08 00:51:25
20105141,478,2020-07-04 02:32:01
20025031,478,2020-07-20 22:01:30
20087481,478,2020-07-02 06:26:35
20029141,478,2020-06-30 12:45:48
20057961,478,2020-07-11 19:27:38
20052221,478,2020-06-27 07:44:19
20101511,478,2020-06-29 01:07:42
20045391,478,2020-06-29 18:41:43
20081001,478,2020-07-01 17:43:15
20000831,478,2020-07-07 11:24:33
20072291,478,2020-06-27 04:21:07
20020541,478,2020-07-11 07:00:58
20105361,478,2020-07-06 15:08:43
20047711,478,2020-07-22 18:26:21
20107161,478,2020-06-29 10:28:28
20036171,478,2020-07-19 03:27:43
20020761,478,2020-07-21 18:35:10
20016701,478,2020-07-01 06:53:31
20000911,478,2020-06-28 09:00:53
20101811,478,2020-07-18 17:57:11
20028461,478,2020-07-20 02:31:15
20082051,478,2020-07-08 13:04:57
20048721,478,2020-07-03 20:20:15
20011661,478,2020-07-07 02:11:44
