program_semester_id,course_id
K15DS_1,120511
K15DS_1,120509
K15DS_1,120508
K15DS_1,120506
K15DS_1,120507
K15DS_1,120510
K15DS_2,120517
K15DS_2,120516
K15DS_2,120518
K15DS_2,120515
K15DS_2,120513
K15DS_2,120514
K15DS_2,120512
K15DS_2,120524
K15DS_2,120519
K15DS_2,120520
K15DS_2,120522
K15DS_2,120523
K15DS_2,120521
K15DS_3,120528
K15DS_3,120526
K15DS_3,120527
K15DS_3,120530
K15DS_3,120525
K15DS_3,120529
K15DS_3,120531
K15DS_3,120532
K15DS_3,120533
K15DS_4,120536
K15DS_4,120534
K15DS_4,120538
K15DS_4,120535
K15DS_4,120537
K15DS_4,120539
K15DS_4,120543
K15DS_4,120544
K15DS_4,120541
K15DS_4,120542
K15DS_4,120540
K15DS_4,120545
K15DS_4,120546
K15DS_4,120547
K15DS_5,120551
K15DS_5,120550
K15DS_5,120552
K15DS_5,120548
K15DS_5,120549
K15DS_5,120553
K15DS_5,120555
K15DS_5,120554
K15DS_6,120556
K15DS_6,120557
K15DS_6,120558
K15DS_6,120567
K15DS_6,120561
K15DS_6,120563
K15DS_6,120560
K15DS_6,120559
K15DS_6,120562
K15DS_6,120564
K15DS_6,120565
K15DS_6,120566
K15DS_6,120568
K15DS_7,120569
K15DS_7,120570
K15DS_7,120572
K15DS_7,120571
K15DS_7,120582
K15DS_7,120578
K15DS_7,120579
K15DS_7,120581
K15DS_7,120577
K15DS_7,120574
K15DS_7,120580
K15DS_7,120573
K15DS_7,120575
K15DS_7,120576
K15DS_8,120585
K15DS_8,120584
K15DS_8,120583
